name,description,traits
Gen Z Gamer,"A young, tech-savvy individual who enjoys fast-paced digital experiences.","{""money_sensitivity"": 7, ""open_mindedness"": 9, ""tech_savviness"": 10, ""peer_influence"": 8, ""ad_trust"": 4, ""risk_appetite"": 6, ""social_class"": 5, ""age_attitude"": 9}"
Suburban Mom,"A family-focused parent who prioritizes safety, convenience, and value for household purchases.","{""money_sensitivity"": 8, ""open_mindedness"": 6, ""tech_savviness"": 5, ""peer_influence"": 7, ""ad_trust"": 7, ""risk_appetite"": 3, ""social_class"": 6, ""age_attitude"": 5}"
Crypto Enthusiast,A tech-forward investor who embraces digital currencies and blockchain technology.,"{""money_sensitivity"": 4, ""open_mindedness"": 9, ""tech_savviness"": 9, ""peer_influence"": 7, ""ad_trust"": 3, ""risk_appetite"": 10, ""social_class"": 7, ""age_attitude"": 8}"
Luxury Shopper,A high-income consumer who values premium brands and exclusive experiences.,"{""money_sensitivity"": 2, ""open_mindedness"": 6, ""tech_savviness"": 6, ""peer_influence"": 8, ""ad_trust"": 6, ""risk_appetite"": 5, ""social_class"": 9, ""age_attitude"": 6}"
Small Business Owner,An entrepreneurial individual who values practical solutions and return on investment.,"{""money_sensitivity"": 8, ""open_mindedness"": 7, ""tech_savviness"": 7, ""peer_influence"": 4, ""ad_trust"": 5, ""risk_appetite"": 6, ""social_class"": 6, ""age_attitude"": 6}"
Health & Wellness Enthusiast,An active lifestyle advocate who prioritizes organic and sustainable products.,"{""money_sensitivity"": 5, ""open_mindedness"": 8, ""tech_savviness"": 6, ""peer_influence"": 7, ""ad_trust"": 5, ""risk_appetite"": 4, ""social_class"": 7, ""age_attitude"": 7}"
Senior Tech Adopter,An older adult embracing technology for convenience and staying connected with family.,"{""money_sensitivity"": 7, ""open_mindedness"": 5, ""tech_savviness"": 4, ""peer_influence"": 5, ""ad_trust"": 8, ""risk_appetite"": 2, ""social_class"": 7, ""age_attitude"": 3}"
College Student,A budget-conscious young adult who is socially active and open to new experiences.,"{""money_sensitivity"": 10, ""open_mindedness"": 9, ""tech_savviness"": 8, ""peer_influence"": 9, ""ad_trust"": 4, ""risk_appetite"": 6, ""social_class"": 3, ""age_attitude"": 10}"
Working Professional,A career-focused millennial with disposable income who values efficiency and quality.,"{""money_sensitivity"": 6, ""open_mindedness"": 7, ""tech_savviness"": 8, ""peer_influence"": 6, ""ad_trust"": 5, ""risk_appetite"": 5, ""social_class"": 7, ""age_attitude"": 7}"
Eco-Conscious Consumer,An environmentally aware individual willing to pay premium for sustainable products.,"{""money_sensitivity"": 4, ""open_mindedness"": 9, ""tech_savviness"": 6, ""peer_influence"": 7, ""ad_trust"": 6, ""risk_appetite"": 4, ""social_class"": 7, ""age_attitude"": 6}"
